feature,importance
sensor_11,0.4028402388358789
sensor_4,0.15125091511880517
sensor_9,0.13937485758901422
sensor_12,0.053302168059954774
sensor_14,0.0396244451238009
sensor_7,0.03166012040738471
sensor_15,0.026852540156146666
sensor_21,0.026247597458253526
sensor_3,0.022461037156602175
sensor_2,0.021418044494766256
sensor_20,0.019105251014845212
sensor_13,0.018143288263358554
setting_1,0.016986033619180368
sensor_8,0.015129402880002592
setting_2,0.009496799278284753
sensor_17,0.00594437591491295
sensor_6,0.0001628846288083446
